Wavelength (micron);fresh;1 pulse;5 pulses
3.115278384;-0.000553313;-0.000278097;-0.000785205
3.114810676;-0.000516617;-0.000295887;-0.000835312
3.114343107;-0.000475588;-0.000316114;-0.000880115
3.113875679;-0.00044035;-0.000335039;-0.000918014
3.113407422;-0.000419736;-0.000348981;-0.000949499
3.112941244;-0.000419526;-0.000355708;-0.000976672
3.112473268;-0.000440594;-0.000354395;-0.001002004
3.112006401;-0.000479059;-0.000345322;-0.001026756
3.111539674;-0.000527844;-0.000329851;-0.001049924
3.111073087;-0.00057907;-0.00030919;-0.001067354
3.11060664;-0.000625956;-0.000285142;-0.001073061
3.110140333;-0.000665595;-0.000260521;-0.001061337
3.109674165;-0.000697737;-0.000238529;-0.001028538
3.109207171;-0.000725318;-0.000224074;-0.000975807
3.108741283;-0.00075138;-0.00022158;-0.000909161
3.108275535;-0.00077782;-0.000234451;-0.000838918
3.107809926;-0.000804384;-0.000263331;-0.000777201
3.107344457;-0.000828346;-0.000305534;-0.000734899
3.106879127;-0.000846121;-0.000355429;-0.000719186
3.106413937;-0.000854117;-0.000405693;-0.000731298
3.105948886;-0.000850623;-0.000449301;-0.000766529
3.10548301;-0.000835766;-0.00048123;-0.000815452
3.105018237;-0.000811224;-0.000499797;-0.000866497
3.104553604;-0.000779999;-0.000506117;-0.00090881
3.10408911;-0.000745024;-0.00050361;-0.000934912
3.103624754;-0.000709152;-0.000496215;-0.000941908
3.103160538;-0.000675229;-0.000487303;-0.000931761
3.10269646;-0.000646357;-0.000478679;-0.000910314
3.102232522;-0.000626151;-0.000470253;-0.000884922
3.101767759;-0.000617917;-0.000460762;-0.000862465
3.101304098;-0.000624422;-0.000448238;-0.000847679
3.100840576;-0.000645872;-0.00043012;-0.000841525
3.100377192;-0.000679881;-0.000404483;-0.000841887
3.099913946;-0.000721221;-0.000370498;-0.00084424
3.099450839;-0.000762451;-0.000328171;-0.000843166
3.098987871;-0.000796122;-0.000279804;-0.000834428
3.09852408;-0.000816077;-0.000229416;-0.000816164
3.098061388;-0.000818731;-0.000182712;-0.000789393
3.097598834;-0.000803574;-0.000146007;-0.000757644
3.097136419;-0.000773012;-0.000125384;-0.000725936
3.096674141;-0.00073198;-0.000124559;-0.000699494
3.096212001;-0.000686375;-0.000144742;-0.000682145
3.09575;-0.000643249;-0.000183534;-0.000676247
3.095288136;-0.000609323;-0.000235668;-0.00068212
3.09482641;-0.000590476;-0.000294338;-0.000699295
3.094363864;-0.000590394;-0.000352427;-0.000726923
3.093902413;-0.000609312;-0.00040389;-0.000764398
3.093441101;-0.000643347;-0.000444966;-0.000811319
3.092979925;-0.000684732;-0.000473974;-0.000866643
3.092518888;-0.000723637;-0.000491929;-0.000928525
3.092057987;-0.000750688;-0.000500849;-0.000992759
3.091597224;-0.000759807;-0.000503902;-0.001053448
3.091136599;-0.000750286;-0.000503677;-0.001103513
3.090675155;-0.000727243;-0.000502219;-0.001136362
3.090214804;-0.000699336;-0.000499654;-0.001147469
3.08975459;-0.000676412;-0.000494703;-0.001135421
3.089294513;-0.000665265;-0.000484908;-0.001102291
3.088834573;-0.000668097;-0.000467407;-0.001053131
3.088374771;-0.000682056;-0.000440329;-0.000994206
3.087915105;-0.000700865;-0.000404225;-0.000932241
3.087454622;-0.00071793;-0.000362104;-0.000872505
3.08699523;-0.000729749;-0.000319875;-0.000819407
3.086535975;-0.000736537;-0.000284639;-0.000775778
3.086076856;-0.000741868;-0.000262616;-0.000744123
3.085617873;-0.00075106;-0.0002579;-0.000726812
3.085159028;-0.000767413;-0.000270545;-0.000725752
3.084700318;-0.000791112;-0.000296912;-0.000742015
3.084241745;-0.000818647;-0.000331308;-0.000774904
3.083782358;-0.000843526;-0.000366963;-0.000821171
3.083324058;-0.000859686;-0.000399475;-0.000875233
3.082865894;-0.00086355;-0.000427302;-0.000930102
3.082407866;-0.000855623;-0.000451883;-0.000978962
3.081949974;-0.000840322;-0.000476853;-0.00101683
3.081492219;-0.000824867;-0.000505768;-0.001042063
3.081034599;-0.000816555;-0.000540419;-0.001056524
3.080577115;-0.000820985;-0.000579702;-0.001065215
3.080119767;-0.000840889;-0.000619482;-0.001074495
3.079661607;-0.000876071;-0.000654266;-0.001090608
3.079204531;-0.000924174;-0.000678991;-0.001117784
3.07874759;-0.000981051;-0.000690038;-0.00115712
3.078290785;-0.001042423;-0.00068709;-0.001206257
3.077834116;-0.001102973;-0.000672159;-0.001260062
3.077377582;-0.001157178;-0.000648757;-0.001311602
