Wavelength (micron),fresh,1 pulse,2 pulses,3 pulse,5 pulses
6.435470253,0.09039082,0.091045891,0.089700479,0.087364507,0.090262263
6.433474655,0.090413051,0.090980163,0.089588677,0.087353441,0.090190076
6.431480295,0.090428552,0.090912073,0.089444161,0.087328302,0.090119292
6.429487171,0.090429189,0.090845921,0.089278168,0.087296121,0.090070551
6.427495282,0.090407813,0.09078489,0.089102572,0.08726528,0.09005859
6.425504627,0.090357866,0.090730299,0.088926561,0.087241704,0.090088172
6.423511078,0.090274007,0.09068114,0.088755885,0.087226313,0.090153248
6.42152289,0.090154829,0.090634194,0.088595026,0.087214792,0.090238857
6.419535932,0.090005486,0.090583021,0.088449345,0.087198205,0.090322874
6.417550203,0.089840322,0.09051842,0.088326906,0.087166178,0.09037926
6.415565702,0.089681104,0.090428796,0.088236544,0.087110781,0.090382995
6.413582428,0.089549591,0.090304436,0.088183791,0.087030911,0.090318031
6.41160038,0.089457476,0.09014253,0.088166438,0.086933394,0.090183887
6.409619557,0.089399621,0.089949612,0.088173001,0.086829036,0.089995381
6.407639957,0.089356677,0.089739367,0.088186123,0.086726435,0.089775524
6.405657477,0.089304417,0.08952824,0.088188187,0.086629307,0.089546992
6.403680323,0.089223137,0.089331664,0.08816555,0.086537411,0.089327708
6.40170439,0.08910239,0.089162385,0.088110324,0.086449441,0.089129845
6.399729675,0.088941345,0.08902867,0.088019688,0.086364992,0.08895981
6.397756179,0.088747776,0.088933658,0.087895936,0.086285397,0.088818821
6.395783899,0.088535193,0.088873726,0.087745505,0.086212643,0.088702751
6.393812835,0.088320754,0.08883898,0.087579513,0.086148147,0.088603716
6.391842986,0.088121196,0.088813468,0.087411612,0.086090321,0.088511543
6.389870266,0.08794961,0.088779612,0.087256134,0.086034077,0.088418117
6.387902845,0.087812689,0.088721856,0.087123867,0.085971333,0.088319575
6.385936635,0.087709571,0.08863045,0.087019018,0.085893086,0.088217618
6.383971635,0.087632488,0.088501879,0.08693721,0.085791734,0.088116958
6.382007843,0.087568625,0.088337382,0.086866284,0.085662758,0.088021404
6.38004526,0.087502831,0.088140671,0.08678941,0.085505692,0.087930676
6.378083883,0.087419349,0.087915357,0.086688919,0.085323522,0.087838116
6.376123712,0.087304458,0.087664866,0.086551597,0.08512227,0.08773199
6.374164745,0.087149079,0.087393341,0.086373155,0.084909695,0.087598999
6.372202922,0.086950859,0.087106511,0.086160054,0.084693604,0.087429132
6.370246363,0.086714767,0.086812513,0.085927516,0.084479801,0.087219654
6.368291005,0.086452545,0.086521787,0.085694415,0.084271556,0.086977265
6.366336848,0.086177709,0.086244278,0.085474651,0.084068555,0.086714393
6.364383889,0.085901663,0.085987532,0.085272171,0.083868479,0.08644468
6.362432129,0.085629578,0.08575457,0.085079427,0.083668158,0.086177932
6.360481565,0.085360798,0.085544397,0.084881923,0.083465757,0.085919141
6.358528153,0.085089759,0.085352578,0.084663671,0.083261447,0.085669691
6.356579982,0.084808427,0.085171969,0.084412201,0.08305734,0.085429469
6.354633004,0.084507153,0.084992178,0.084120853,0.082855453,0.085198092
6.352687218,0.084176193,0.084799356,0.0837898,0.082655706,0.084975137
6.350742624,0.083807162,0.084576659,0.083425327,0.082453888,0.084758933
6.34879922,0.083395746,0.084306897,0.08303879,0.082240592,0.084545184
6.346857005,0.082945935,0.083978209,0.082645026,0.082003764,0.084326887
6.344915977,0.082471828,0.083589728,0.082259207,0.081732271,0.084094786
6.342972114,0.081996867,0.083155077,0.081893865,0.08142219,0.083840779
6.341033462,0.081547061,0.08269876,0.081555872,0.081079319,0.083560693
6.339095994,0.081142633,0.08224736,0.081245472,0.080716821,0.083255302
6.33715971,0.080791542,0.081820208,0.080956771,0.08034951,0.082928542
6.335224609,0.080488674,0.081425351,0.080680345,0.079988034,0.082585472
6.333290689,0.080218485,0.081060247,0.080405082,0.079636134,0.082230376
6.33135795,0.079961028,0.080717132,0.080120999,0.079291935,0.08186735
6.329426389,0.079697266,0.080388175,0.07982107,0.07895075,0.08150133
6.327492004,0.079414252,0.080069442,0.079502937,0.078609166,0.081139011
6.325562801,0.079107671,0.07976138,0.079168609,0.078267409,0.080787516
6.323634775,0.078782948,0.079467811,0.078824455,0.07793102,0.080453477
6.321707923,0.078451962,0.079191823,0.07847841,0.077608937,0.080140149
6.319782246,0.078128594,0.078932725,0.078138019,0.077310465,0.079846907
6.317857741,0.077823655,0.078684709,0.077808913,0.077041666,0.079570438
6.315934408,0.077541319,0.078438131,0.077494341,0.076803039,0.079307238
6.314008259,0.077279106,0.078183345,0.077196379,0.076589512,0.079056689
6.312087268,0.077029235,0.077914173,0.076916658,0.076391977,0.078821618
6.310167447,0.07678231,0.077630284,0.076657044,0.076200692,0.078606887
6.308248792,0.076530111,0.077336798,0.076418885,0.076008127,0.078415521
6.306331304,0.076267492,0.077041435,0.076201657,0.075810452,0.078244495
6.304414982,0.075993405,0.076751134,0.076002516,0.07560786,0.078083393
6.302499824,0.075709922,0.076469159,0.0758159,0.075402624,0.077916121
6.300585828,0.075421107,0.076194776,0.075634939,0.075197198,0.077726221
6.298672996,0.075132243,0.075925163,0.075453529,0.074992698,0.077503616
6.296757359,0.074848584,0.075658021,0.07526749,0.074788387,0.077249287
6.29484685,0.074574433,0.075393616,0.075074946,0.074582282,0.07697554
6.292937499,0.074312329,0.07513539,0.074875394,0.074372421,0.076701902
6.291029307,0.074061854,0.074887629,0.074667586,0.07415752,0.076446917
6.289122271,0.073819322,0.074652977,0.074448129,0.07393715,0.076220307
6.287216392,0.073577764,0.074429477,0.074211017,0.073710378,0.076018394
6.285311667,0.073328767,0.074210229,0.073949652,0.07347515,0.075825562
6.283408095,0.073064424,0.073984752,0.07365942,0.073227579,0.075620164
6.281501731,0.07278001,0.073742057,0.073340907,0.072963007,0.07538295
6.279600467,0.072475504,0.073473959,0.073000979,0.072677691,0.075103953
6.277700353,0.072156043,0.07317755,0.07265209,0.0723716,0.074785614
6.275801388,0.07183016,0.072855421,0.072308352,0.072049403,0.074440415
6.273903573,0.071507379,0.072514838,0.0719817,0.071720801,0.074085782
6.272006904,0.071195132,0.072165428,0.071678285,0.071398055,0.073737669
6.270111382,0.070896613,0.071817036,0.071397388,0.0710927,0.073406572
6.268217006,0.070610564,0.071478565,0.071133166,0.070811882,0.073096835
6.266319847,0.070332361,0.071157165,0.070878194,0.070556585,0.072809086
6.26442776,0.070056364,0.070857903,0.070626994,0.070321534,0.072542761
6.262536816,0.069778112,0.070583247,0.070378011,0.070097415,0.072298056
6.260647013,0.069496411,0.070333169,0.070133806,0.069874705,0.072075936
6.25875835,0.069213397,0.070104897,0.06989884,0.069646858,0.071876371
6.256870826,0.06893386,0.069893948,0.069676644,0.069412268,0.0716966
6.254984441,0.068663501,0.069695613,0.069467712,0.069174059,0.071531024
6.253095282,0.06840742,0.069506751,0.069269029,0.068938512,0.071372414
6.251211172,0.068168491,0.069326829,0.0690749,0.068712227,0.071214527
6.249328197,0.067947006,0.069158018,0.068879188,0.068500439,0.071054291
6.247446356,0.06774122,0.069003685,0.068677556,0.068306131,0.07089276
6.245565648,0.067548295,0.068866065,0.068468885,0.068130487,0.070733697
6.243686072,0.067365849,0.068743747,0.068255674,0.067973844,0.070580893
6.241807627,0.067193011,0.068630722,0.068043223,0.06783624,0.070435628
6.239930312,0.06703058,0.068517051,0.067838552,0.067717077,0.070295506
6.238054126,0.066880339,0.068391523,0.067648959,0.067613864,0.070155281
6.236175179,0.066743291,0.068244582,0.067480767,0.067520814,0.070009004
6.23430125,0.066618645,0.068072005,0.067338447,0.067429393,0.069853089
6.232428447,0.066502676,0.067875972,0.06722352,0.067329878,0.06968757
6.230556769,0.06638954,0.067664968,0.067133987,0.067215261,0.069516494
6.228686214,0.06627272,0.06745181,0.067064207,0.067084756,0.069346574
6.226816783,0.066147074,0.067250717,0.067005318,0.066945467,0.069185193
6.224948473,0.066010443,0.067074715,0.066946752,0.06681122,0.069039435
6.223081284,0.065864033,0.066933429,0.066878389,0.066698039,0.06891534
6.221211345,0.065711545,0.066831723,0.066793047,0.066617684,0.068817766
6.219346396,0.065557313,0.066768763,0.06668857,0.066572035,0.068749958
6.217482566,0.065404412,0.066738003,0.066568642,0.066550279,0.068712227
6.215619853,0.065253574,0.066727545,0.066441791,0.066531066,0.068700268
6.213758255,0.065104015,0.066722336,0.066318978,0.066489108,0.068704514
6.211897772,0.064955041,0.066706521,0.066210083,0.066403672,0.06871046
6.210038403,0.064808576,0.066667219,0.0661212,0.066265797,0.068701897
6.208180146,0.064669852,0.066597151,0.066052655,0.066081318,0.068664967
6.206323002,0.064547252,0.066497163,0.065999567,0.065869566,0.068593372
6.204463118,0.064449212,0.066375645,0.065953352,0.065656889,0.068490777
6.202608197,0.064381095,0.066246421,0.065904973,0.065468876,0.06837074
6.200754384,0.064341959,0.066123991,0.065846996,0.065322819,0.068252022
6.198901679,0.064324867,0.066019839,0.065776236,0.065225112,0.068153049
6.19705008,0.06431811,0.065938891,0.065693327,0.065171746,0.06808572
6.195199588,0.064309108,0.065879721,0.065602428,0.065152657,0.068052699
6.1933502,0.064287547,0.065835457,0.065509183,0.065155788,0.068046439
6.191498082,0.064248098,0.065797283,0.065419518,0.065170611,0.068051884
6.189650904,0.064191105,0.065757387,0.065337636,0.065189211,0.068050248
6.187804827,0.064121379,0.065712164,0.065265186,0.06520607,0.06802498
6.185959851,0.064045768,0.065663828,0.06520142,0.065217454,0.067968121
6.184115974,0.063969279,0.065619204,0.065144194,0.065220216,0.067883058
6.182273197,0.063893567,0.065586469,0.065092241,0.065212145,0.067783612
6.180431518,0.063816479,0.065570301,0.065045998,0.06519175,0.067686892
6.178590935,0.063735168,0.065569754,0.065008116,0.065159183,0.06760657
6.176747634,0.063648937,0.065578549,0.064982486,0.06511633,0.067548605
6.174909244,0.063560629,0.065586742,0.064972233,0.065066463,0.06751017
6.173071949,0.063476818,0.065583844,0.064978131,0.065014037,0.067481885
6.171235747,0.063405946,0.065560771,0.064997291,0.064963961,0.067450816
6.169400637,0.063355667,0.065511664,0.065022096,0.064920837,0.06740398
6.167566617,0.063330446,0.065435552,0.065041046,0.064888209,0.067332693
6.165733688,0.063329048,0.06533675,0.06504039,0.064867195,0.067236267
6.163901848,0.063344055,0.065224663,0.065007782,0.064855866,0.067124567
6.1620673,0.063363333,0.065112054,0.064936441,0.06484904,0.067017257
6.160237637,0.063373442,0.065011897,0.064828554,0.064839434,0.066938842
6.158409061,0.063363995,0.06493409,0.06469601,0.064819972,0.066910401
6.15658157,0.063330971,0.064883029,0.064557755,0.064786617,0.066941699
6.154755164,0.06327754,0.064857141,0.064434415,0.064739635,0.06702696
6.152929841,0.063212485,0.064850495,0.064343171,0.064683496,0.06714642
6.1511056,0.063147437,0.064855506,0.064293922,0.064625205,0.067272454
6.14928244,0.063093794,0.064865753,0.064288357,0.064572143,0.067377622
6.147460361,0.063060093,0.064877388,0.064320412,0.064529665,0.067441765
6.145635585,0.063050446,0.064889604,0.064378508,0.064499978,0.067456517
6.143815666,0.063062879,0.064903011,0.064447563,0.06448179,0.067425784
6.141996825,0.063089533,0.064917688,0.064511972,0.064471192,0.06736242
6.14017906,0.063118506,0.064931593,0.064558567,0.064463963,0.067282275
6.138362371,0.063137078,0.064940309,0.064578982,0.064457419,0.067198107
6.136546756,0.063135354,0.064938323,0.064570655,0.064451378,0.06711572
6.134732216,0.063109187,0.064921735,0.064536761,0.064447824,0.067034443
6.132914987,0.06306096,0.064890373,0.06448455,0.064449037,0.066950704
6.131102593,0.062998118,0.064848523,0.064423023,0.064455831,0.066862007
6.12929127,0.062929939,0.064803648,0.064360648,0.064466453,0.066769504
6.127481017,0.062864921,0.06476379,0.064303915,0.064477252,0.066678382
6.125671833,0.062807699,0.06473381,0.064255833,0.064483368,0.06659511
6.123863717,0.062759063,0.064713358,0.064216389,0.064481265,0.066525062
6.122056668,0.062716427,0.064695879,0.06418309,0.064469442,0.066470452
6.120250685,0.062676143,0.06467038,0.064152587,0.064448966,0.066430225
6.118442024,0.062636288,0.064625783,0.064122733,0.064422574,0.066402182
6.116638173,0.062598209,0.064556597,0.064094113,0.064393054,0.066385752
6.114835386,0.062566365,0.064467647,0.064070592,0.06436171,0.066383959
6.11303366,0.062546342,0.064374885,0.064058059,0.064327985,0.066402856
6.111232996,0.062541516,0.064300037,0.064061459,0.064290772,0.066447819
6.109433393,0.0625507,0.06426091,0.064081252,0.064249697,0.066518778
6.107634849,0.062568321,0.06426335,0.064111828,0.064205877,0.066608195
6.105837364,0.062587299,0.064299757,0.064142839,0.064161575,0.066702601
6.10403721,0.062602434,0.064353515,0.064162613,0.064119332,0.066787472
6.102241842,0.062612182,0.064405383,0.064161616,0.064080972,0.066851113
6.100447529,0.062618893,0.064440184,0.064135751,0.064047645,0.066888013
6.098654271,0.0626263,0.064450088,0.064087254,0.064019687,0.066898796
6.096862067,0.062637244,0.064436865,0.064025353,0.063998028,0.066889683
6.095070916,0.062650956,0.06440991,0.06396354,0.063984673,0.066869292
6.093280817,0.062662772,0.064382268,0.063915962,0.063983275,0.066845835
6.09149177,0.062666296,0.064365511,0.063893474,0.063998252,0.066825128
6.089703772,0.062656639,0.06436541,0.063900538,0.064032998,0.066810351
