Wavelength (micron),fresh,1 pulse,2 pulse,3 pulses,5 pulses
6.23430125,0.059576517,0.059529153,0.058678295,0.059172631,0.059834592
6.232428447,0.059444845,0.059437162,0.05860994,0.059050212,0.059724377
6.230556769,0.059323318,0.05934096,0.058555642,0.058950692,0.059603561
6.228686214,0.059200889,0.059236765,0.058504349,0.058877773,0.059473375
6.226816783,0.059068679,0.059122338,0.058443372,0.058829199,0.059337799
6.224948473,0.058923898,0.05899795,0.058362984,0.058795329,0.059204315
6.223081284,0.058772022,0.058867428,0.058260059,0.058760229,0.059082959
6.221211345,0.058625559,0.058736777,0.058139234,0.058705958,0.058983537
6.219346396,0.058499649,0.058612229,0.058011129,0.058618384,0.058911534
6.217482566,0.05840648,0.058497895,0.057887732,0.058492398,0.058865255
6.215619853,0.058350473,0.058395214,0.057777266,0.058334372,0.058836186
6.213758255,0.058327085,0.058303543,0.057681694,0.058160533,0.058811906
6.211897772,0.058324562,0.058222024,0.057596872,0.05799251,0.0587816
6.210038403,0.058328759,0.058151304,0.057516552,0.057850916,0.058740022
6.208180146,0.058327405,0.058093295,0.057436773,0.057750231,0.058689055
6.206323002,0.058312896,0.058049531,0.057359007,0.057695577,0.058635464
6.204463118,0.05828235,0.058018484,0.057290258,0.05768259,0.058586632
6.202608197,0.058236145,0.05799371,0.057239783,0.057699932,0.058545769
6.200754384,0.058175566,0.057964356,0.057214895,0.057733357,0.058510121
6.198901679,0.058101157,0.057917843,0.057217426,0.057769857,0.058472075
6.19705008,0.058013075,0.057844156,0.057243162,0.057799978,0.058422715
6.195199588,0.057912493,0.057739653,0.057283613,0.057818766,0.058356445
6.1933502,0.057803323,0.05760968,0.057328507,0.057824664,0.058273652
6.191498082,0.057693813,0.057468702,0.057368952,0.057818623,0.058182036
6.189650904,0.057595795,0.057338098,0.057398741,0.057802337,0.058094596
6.187804827,0.057522205,0.057240236,0.057414301,0.057778039,0.058025709
6.185959851,0.057481998,0.05719032,0.057413714,0.057748324,0.057985726
6.184115974,0.057475944,0.057190409,0.057395231,0.057716277,0.057976878
6.182273197,0.057496512,0.057229091,0.05735676,0.057685622,0.057993562
6.180431518,0.057531586,0.057288452,0.057297418,0.057660258,0.058026182
6.178590935,0.057570195,0.057352653,0.057218891,0.057643811,0.058065883
6.176747634,0.057605554,0.057412694,0.05712655,0.057639032,0.058106698
6.174909244,0.057635083,0.057466013,0.057028855,0.057647042,0.05814539
6.173071949,0.05765786,0.057512985,0.056935638,0.05766727,0.058179099
6.171235747,0.057672115,0.057553241,0.056856139,0.057696962,0.058204258
6.169400637,0.057674104,0.057583691,0.056796744,0.057731144,0.058216231
6.167566617,0.057658155,0.05759827,0.056759489,0.057762918,0.058211108
6.165733688,0.05761874,0.057590583,0.056742009,0.057784421,0.058187639
6.163901848,0.057553666,0.057556968,0.056738673,0.057788828,0.058148892
6.1620673,0.057466362,0.057499598,0.056742908,0.057772781,0.058102036
6.160237637,0.057366225,0.057426566,0.056749943,0.057737856,0.058055875
6.158409061,0.057266395,0.057349331,0.056757941,0.057690637,0.05801707
6.15658157,0.05717908,0.057278498,0.056767315,0.057640807,0.057987731
6.154755164,0.057112067,0.057220197,0.056778537,0.057597698,0.057965513
6.152929841,0.05706726,0.057175972,0.056790039,0.057567606,0.057945907
6.1511056,0.057041813,0.057144827,0.056797674,0.057552311,0.057925743
6.14928244,0.057030155,0.057126514,0.056795963,0.057549118,0.057904989
6.147460361,0.057026161,0.057123044,0.056780286,0.057552095,0.057886642
6.145635585,0.057024111,0.057138777,0.056749431,0.057553666,0.057875244
6.143815666,0.057019475,0.05717758,0.056707539,0.057546836,0.057873741
6.141996825,0.057009113,0.057239374,0.056663982,0.057527077,0.05788167
6.14017906,0.056991319,0.057317747,0.056630895,0.057493856,0.057894407
6.138362371,0.056966498,0.057399712,0.056619415,0.057450886,0.057904906
6.136546756,0.056936634,0.057469489,0.056635456,0.057405076,0.0579063
6.134732216,0.056904884,0.057512938,0.056677777,0.057364228,0.057893818
6.132914987,0.056873935,0.057521707,0.056737887,0.057334947,0.057865373
6.131102593,0.056844821,0.057494923,0.056802476,0.05732088,0.057820722
6.12929127,0.056815767,0.057438077,0.056856829,0.057322042,0.05776003
6.127481017,0.056782449,0.057360458,0.056887878,0.05733498,0.0576833
6.125671833,0.056739058,0.057272014,0.05688722,0.057353644,0.057590651
6.123863717,0.05668081,0.057181148,0.056852514,0.057370878,0.057484146
6.122056668,0.056606455,0.057093607,0.056788395,0.057380179,0.057369668
6.120250685,0.056520435,0.057012969,0.056705601,0.057377205,0.057258169
