Wavelength (micron),CM Ambient,CM Vacuum,CI Ambient,CI Vacuum
6.256870826,0.063329772,0.06893386,0.037511392,0.041352982
6.254984441,0.063030618,0.068663501,0.037355983,0.041143796
6.253095282,0.062738161,0.06840742,0.037204033,0.040905711
6.251211172,0.062451691,0.068168491,0.037045527,0.040646969
6.249328197,0.062171532,0.067947006,0.036873961,0.040381198
6.247446356,0.06189899,0.06774122,0.036688078,0.040123538
6.245565648,0.061635946,0.067548295,0.036491469,0.039886472
6.243686072,0.061384476,0.067365849,0.036290518,0.039676901
6.241807627,0.061147163,0.067193011,0.036092151,0.039495842
6.239930312,0.060927577,0.06703058,0.035902198,0.039339558
6.238054126,0.060730634,0.066880339,0.03572497,0.039202137
6.236175179,0.060561437,0.066743291,0.035563052,0.03907751
6.23430125,0.060423802,0.066618645,0.035417904,0.03896032
6.232428447,0.060317586,0.066502676,0.03528938,0.038846529
6.230556769,0.060237268,0.06638954,0.035175691,0.038733342
6.228686214,0.060172173,0.06627272,0.035073265,0.038619501
6.226816783,0.060108698,0.066147074,0.034977153,0.038506519
6.224948473,0.060033623,0.066010443,0.034882017,0.038398919
6.223081284,0.059937507,0.065864033,0.034783292,0.038303972
6.221211345,0.059816488,0.065711545,0.034677984,0.038229982
6.219346396,0.059672271,0.065557313,0.034564852,0.038183369
6.217482566,0.05950998,0.065404412,0.034444078,0.038165708
6.215619853,0.059334989,0.065253574,0.034316165,0.038172139
6.213758255,0.059151151,0.065104015,0.034181664,0.038192123
6.211897772,0.058960124,0.064955041,0.034041029,0.038212368
6.210038403,0.058763615,0.064808576,0.033895569,0.038220144
6.208180146,0.058565384,0.064669852,0.033747991,0.038206205
6.206323002,0.058373326,0.064547252,0.033602846,0.038165984
6.204463118,0.05819828,0.064449212,0.033465641,0.038098838
6.202608197,0.058051563,0.064381095,0.033341705,0.038006345
6.200754384,0.057940727,0.064341959,0.033234615,0.037890704
6.198901679,0.057867635,0.064324867,0.033146303,0.037754389
6.19705008,0.057827475,0.06431811,0.033077302,0.037601118
6.195199588,0.057810965,0.064309108,0.033028163,0.037437407
6.1933502,0.057806185,0.064287547,0.032999536,0.037273691
6.191498082,0.057800846,0.064248098,0.032991529,0.037123901
6.189650904,0.05778324,0.064191105,0.033000814,0.037002444
6.187804827,0.057743117,0.064121379,0.033017694,0.036919496
6.185959851,0.057672752,0.064045768,0.033025452,0.036875737
6.184115974,0.057568082,0.063969279,0.033004077,0.036860881
6.182273197,0.057430268,0.063893567,0.032938682,0.036857289
6.180431518,0.057265688,0.063816479,0.032825829,0.036847402
6.178590935,0.057084826,0.063735168,0.032675221,0.036820225
6.176747634,0.056900583,0.063648937,0.032505308,0.036774329
6.174909244,0.056725674,0.063560629,0.032336682,0.036715799
6.173071949,0.0565708,0.063476818,0.032186687,0.03665384
6.171235747,0.056442704,0.063405946,0.032065836,0.036596836
6.169400637,0.056342559,0.063355667,0.031976003,0.036549546
6.167566617,0.05626555,0.063330446,0.031910758,0.036512737
6.165733688,0.056201791,0.063329048,0.031857093,0.036484946
6.163901848,0.056139484,0.063344055,0.031799742,0.036464641
6.1620673,0.056069416,0.063363333,0.031726208,0.036452299
6.160237637,0.055988814,0.063373442,0.031631216,0.036450049
6.158409061,0.055902541,0.063363995,0.031517832,0.036460068
6.15658157,0.055820422,0.063330971,0.031395176,0.036481518
6.154755164,0.05575226,0.06327754,0.031273733,0.036509348
6.152929841,0.055703661,0.063212485,0.031162162,0.036534967
6.1511056,0.055674529,0.063147437,0.031066045,0.036549003
6.14928244,0.05566013,0.063093794,0.030988893,0.036544504
6.147460361,0.055653457,0.063060093,0.030933177,0.036519517
6.145635585,0.055648164,0.063050446,0.030900695,0.036477484
6.143815666,0.055640056,0.063062879,0.030891281,0.036425942
6.141996825,0.055627784,0.063089533,0.030901052,0.036373701
6.14017906,0.055611929,0.063118506,0.030921701,0.036327929
6.138362371,0.055593717,0.063137078,0.03094181,0.036292498
6.136546756,0.055573581,0.063135354,0.030950099,0.036267669
6.134732216,0.055550966,0.063109187,0.030939344,0.036251546
6.132914987,0.055524621,0.06306096,0.030908332,0.036241084
6.131102593,0.055493196,0.062998118,0.030861466,0.036232708
6.12929127,0.055455535,0.062929939,0.030806152,0.036221551
6.127481017,0.05541081,0.062864921,0.030749642,0.03620101
6.125671833,0.055357426,0.062807699,0.030695774,0.036162505
6.123863717,0.055293332,0.062759063,0.030644337,0.036097376
6.122056668,0.055215879,0.062716427,0.030591792,0.036000093
6.120250685,0.055123136,0.062676143,0.030534409,0.03587222
6.118442024,0.05501629,0.062636288,0.03047238,0.035725737
6.116638173,0.054902202,0.062598209,0.030413155,0.035583142
