Wavelength (micron),CM Vacuum - Ambient,CI Vacuum - Ambient
6.339095994,0.004172779,0.001904124
6.33715971,0.004260406,0.001919988
6.335224609,0.004388383,0.001931707
6.333290689,0.004535237,0.001940682
6.33135795,0.004675969,0.001951026
6.329426389,0.004786194,0.001966978
6.327492004,0.004846809,0.00199056
6.325562801,0.004848829,0.002019648
6.323634775,0.004796629,0.002048117
6.321707923,0.004708178,0.002068323
6.319782246,0.004610899,0.002074569
6.317857741,0.004534264,0.002065466
6.315934408,0.004501775,0.002044651
6.314008259,0.004524982,0.00201786
6.312087268,0.004601065,0.001991151
6.310167447,0.004714345,0.001967806
6.308248792,0.004841224,0.00194833
6.306331304,0.004956568,0.001931614
6.304414982,0.00504044,0.001917183
6.302499824,0.005082004,0.001906712
6.300585828,0.005080484,0.001904261
6.298672996,0.005044016,0.001914268
6.296757359,0.004986462,0.001939795
6.29484685,0.004923893,0.001980663
6.292937499,0.004871254,0.002032935
6.291029307,0.004839518,0.002090513
6.289122271,0.004833741,0.002146706
6.287216392,0.004852166,0.00219668
6.285311667,0.004887053,0.002237089
6.283408095,0.004926587,0.002265848
6.281501731,0.004958131,0.002280839
6.279600467,0.004971967,0.00227932
6.277700353,0.00496408,0.002259564
6.275801388,0.004937741,0.002222967
6.273903573,0.004902351,0.002175871
6.272006904,0.004870089,0.002129876
6.270111382,0.004851559,0.002099311
6.268217006,0.004852342,0.0020966
6.266319847,0.004871377,0.002126825
6.26442776,0.004902282,0.002184672
6.262536816,0.004936661,0.002254764
6.260647013,0.004967953,0.002315761
6.25875835,0.004994157,0.002347464
6.256870826,0.005018202,0.002337179
6.254984441,0.00504588,0.002283752
6.253095282,0.005083127,0.002197345
6.251211172,0.005133257,0.002096299
6.249328197,0.005195705,0.002000915
6.247446356,0.005266767,0.001927792
6.245565648,0.0053411,0.001886018
6.243686072,0.005413734,0.001876271
6.241807627,0.005480848,0.001892754
6.239930312,0.005539458,0.001925968
6.238054126,0.005586373,0.001965709
6.236175179,0.005617646,0.002003273
6.23430125,0.005629077,0.002031717
6.232428447,0.005617745,0.002046944
6.230556769,0.005584124,0.002047697
6.228686214,0.005533103,0.002036062
6.226816783,0.005473562,0.00201837
6.224948473,0.005416475,0.002004509
6.223081284,0.005371851,0.002006515
6.221211345,0.005346202,0.002036015
6.219346396,0.005340982,0.002101035
6.217482566,0.005353176,0.002203273
6.215619853,0.00537764,0.002337519
6.213758255,0.005409746,0.002492684
6.211897772,0.005447547,0.002654893
6.210038403,0.005491875,0.002809914
6.208180146,0.005544911,0.002945575
6.206323002,0.00560796,0.003052502
6.204463118,0.005679659,0.00312422
6.202608197,0.005755409,0.003156554
6.200754384,0.005828337,0.003147619
6.198901679,0.005891296,0.00309744
6.19705008,0.005938682,0.003008801
6.195199588,0.005967646,0.002887524
6.1933502,0.005978883,0.00274368
6.191498082,0.005976622,0.002591945
6.189650904,0.005968258,0.002451507
6.187804827,0.00596292,0.002344096
6.185959851,0.005969631,0.002288843
6.184115974,0.005994504,0.002296395
