Wavelength (micron),fresh,1 pulse,5 pulses
3.08699523,-0.001241316,-0.001109332,-0.001420766
3.086535975,-0.001228402,-0.001119556,-0.001415499
3.086076856,-0.001215426,-0.001130833,-0.001389306
3.085617873,-0.001207335,-0.001140162,-0.001350594
3.085159028,-0.00120864,-0.00114578,-0.001309064
3.084700318,-0.001222391,-0.001146715,-0.00127304
3.084241745,-0.001249094,-0.001143734,-0.001246965
3.083782358,-0.001286619,-0.001138715,-0.001231044
3.083324058,-0.001331081,-0.001134913,-0.0012226
3.082865894,-0.001378368,-0.001135645,-0.001217894
3.082407866,-0.001425129,-0.001143833,-0.001214112
3.081949974,-0.001470032,-0.001160569,-0.001210842
3.081492219,-0.00151289,-0.001184629,-0.001209684
3.081034599,-0.001553753,-0.001212682,-0.001212935
3.080577115,-0.00159105,-0.001239863,-0.001222013
3.080119767,-0.001621173,-0.001261557,-0.001236243
3.079661607,-0.001638726,-0.001274926,-0.00125285
3.079204531,-0.001637621,-0.001280196,-0.001267837
3.07874759,-0.00161409,-0.001280701,-0.001277442
3.078290785,-0.001568271,-0.001281858,-0.001279906
3.077834116,-0.001505493,-0.001289144,-0.001276228
3.077377582,-0.001434946,-0.001305759,-0.001269869
3.076921183,-0.001367659,-0.00133152,-0.001266071
3.07646492,-0.001313472,-0.001362686,-0.001269907
3.076007846,-0.001278597,-0.001393882,-0.001285202
3.075551854,-0.001264532,-0.001420447,-0.001313225
3.075095997,-0.001268627,-0.001440588,-0.001352655
3.074640275,-0.0012861,-0.001456627,-0.001399726
3.074184688,-0.001312228,-0.001474408,-0.001449358
3.073729236,-0.001343846,-0.001500306,-0.00149613
3.073273919,-0.001380089,-0.001538732,-0.001535579
3.072817792,-0.001422177,-0.00158927,-0.001564967
3.072363689,-0.001471625,-0.001646084,-0.001583855
3.071907833,-0.001530133,-0.001698952,-0.001593653
3.071453055,-0.001597675,-0.001736783,-0.001597395
3.070998412,-0.001673109,-0.001750619,-0.001598227
3.070543904,-0.001753499,-0.001736842,-0.001598597
3.07008953,-0.001834762,-0.001697913,-0.001599335
3.06963529,-0.001911325,-0.001642044,-0.001599615
3.069181185,-0.001976792,-0.001580363,-0.001597738
3.068726273,-0.002024425,-0.001524163,-0.001591638
3.068272437,-0.002048598,-0.001482414,-0.001580291
3.067818735,-0.002045995,-0.001460317,-0.001563941
3.067365167,-0.0020176,-0.001458576,-0.001544401
3.066911733,-0.001968838,-0.001474435,-0.001523992
3.066458434,-0.001909014,-0.001502753,-0.001505145
3.066005268,-0.001849436,-0.00153717,-0.00148968
3.065552236,-0.001800309,-0.001571648,-0.001478755
3.065098399,-0.00176842,-0.001601099,-0.001473056
3.064645635,-0.001755412,-0.00162272,-0.001473462
3.064193005,-0.001757793,-0.001635731,-0.00148096
3.063740509,-0.00176909,-0.001641962,-0.001496418
3.063288146,-0.001781749,-0.0016447,-0.001519569
3.062835917,-0.001789832,-0.001647693,-0.001548485
3.062383821,-0.00179074,-0.001653854,-0.001579105
3.061931859,-0.001785222,-0.001664655,-0.001606293
3.061479092,-0.001776376,-0.001679749,-0.001624743
3.061027397,-0.001768557,-0.001697658,-0.001631371
3.060575835,-0.001765747,-0.001716986,-0.001625813
3.060124406,-0.001770089,-0.00173683,-0.001611208
3.059673111,-0.001782291,-0.001757243,-0.001592544
3.059221948,-0.001800782,-0.001778519,-0.001575306
3.058770919,-0.00182237,-0.001800128,-0.00156336
3.058319087,-0.001842652,-0.001820115,-0.001558211
3.057869258,-0.001856394,-0.001835021,-0.001558862
3.057417693,-0.001858379,-0.001841289,-0.001563271
3.056967195,-0.001844938,-0.001836562,-0.001569643
3.05651683,-0.001814991,-0.001821425,-0.001577307
3.056066598,-0.001771219,-0.001799707,-0.001587149
3.055616498,-0.00172044,-0.001777472,-0.001600785
